Emirate_Ar,Emirate_En,Year,اسم المحطة,Type of Location ,نوع موقع المحطة ,Station Name,Month_Ar,Month_En,Category_Type_Ar,Category_Type_En,Value,,,,,,,,,,,,,,,,,
دبي,Dubai,2013,مطار دبي,Urban/Residential,حضرية/ سكنية,Dubai Airport,فبراير,Feb.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),87.0,,,,,,,,,,,,,,,,,
دبي,Dubai,2013,حتا,Down town,وسط المدينة ,Hatta,فبراير,Feb.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),74.0,,,,,,,,,,,,,,,,,
دبي,Dubai,2013,ميناء جبل علي,Industrial ,صناعية  ,Jebel Ali Port,فبراير,Feb.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),81.0,,,,,,,,,,,,,,,,,
دبي,Dubai,2013,شارع الشيخ زايد,Traffic,جانب الطريق,Shk. Zayed Road,فبراير,Feb.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),-,,,,,,,,,,,,,,,,,
دبي,Dubai,2013,شارع الشيخ محمد بن زايد,Traffic,جانب الطريق,Sheikh Mohd. Bin Zayed Rd.,فبراير,Feb.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),75.0,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2013,الجير,Residential,سكنية ,Al Jeer,فبراير,Feb.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),99.8,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2013,البريرات,Residential,سكنية ,Al Burairat,فبراير,Feb.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),197.4,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2013,القاسمية,Residential,سكنية ,AL Qasmiah,فبراير,Feb.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),207.2,,,,,,,,,,,,,,,,,
دبي,Dubai,2016,ديره,Residential- ommercial,سكنية-تجارية,Deira,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),131,,,,,,,,,,,,,,,,,
دبي,Dubai,2016,تلال الإمارات,Residential,سكنية,Emirates Hills,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),100,,,,,,,,,,,,,,,,,
دبي,Dubai,2016,شارع الشيخ زايد,Traffic,جانب الطريق,Shk. Zayed Road,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),17,,,,,,,,,,,,,,,,,
دبي,Dubai,2016,شارع الشيخ محمد بن زايد,Traffic,جانب الطريق,Sheikh Mohd. Bin Zayed Rd.,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),44,,,,,,,,,,,,,,,,,
الشارقة,Sharjah,2016,الحمرية,Industrial ,صناعية ,Al hummariah,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),93,,,,,,,,,,,,,,,,,
الشارقة,Sharjah,2016,كلباء,Residential,سكنية,Kalba,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),80,,,,,,,,,,,,,,,,,
عجمان ,Ajman,2016,مشيرف,Residential,سكنية ,Musharif,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),114,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2016,الجير,Residential,سكنية ,Al Jeer,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),94,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2016,البريرات,Residential,سكنية ,Al Burairat,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),82,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2016,القاسمية,Residential,سكنية ,AL Qasmiah,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),85,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2016,غليلة,Residential,سكنية ,Ghalilah,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),107,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,شارع حمدان,Traffic,جانب الطريق,Hamdan Street,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),159,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,مدرسة خديجة,Down Town,وسط المدينة ,Khadejah School,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),143,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,مدرسة خليفة,Urban/Residential,حضرية/ سكنية,Khalifa School,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),118,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,المقطع,Urban/Residential,حضرية/ سكنية,Al Maqta,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),133,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,مدينة خليفة أ,Urban/Residential, حضرية/ سكنية,Khalifa City A,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),138,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,مدرسة بني ياس,Urban/Residential,حضرية/ سكنية,Baniyas School,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),136,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,مصفح,Industrial,صناعية  ,Mussafah ,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),190,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,المفرق,Industrial,صناعية,Al Mafraq,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),173,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015, شارع العين,Traffic,جانب الطريق,Al Ain Street,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),130,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,مدرسة العين,Urban/Residential,حضرية/ سكنية,Al Ain Islamic Institute,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),123,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,الطوية,Urban/Residential,حضرية/ سكنية,Al Tawia,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),125,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,زاخر,Urban/Residential, حضرية/ سكنية,Zakher ,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),89,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,سويحان,Urban/Residential,حضرية/ سكنية,Sweihan,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),111,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,القوع,Residential,ريفية/ سكنية,Al Qua'a,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),104,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015, بدع زايد,Urban/Residential,حضرية/ سكنية,Bida Zayed ,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),125,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,حبشان,Residential,ريفية/ سكنية,Habshan South ,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),144,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,الرويس,Industrial,صناعية  ,Ruwais ,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),125,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,مدرسة غياثي,Down Town,وسط المدينة,Gayathi School,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),48,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,واحة ليوا,Remote,نائية,Liwa Oasis,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),268,,,,,,,,,,,,,,,,,
دبي,Dubai,2015,الكرامة,Urban/Residential, حضرية/ سكنية,Karama,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),69,,,,,,,,,,,,,,,,,
دبي,Dubai,2015,تلال الامارات,Urban/Residential,حضرية/ سكنية,Emirates Hills,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),77,,,,,,,,,,,,,,,,,
دبي,Dubai,2015,مطار دبي,Urban/Residential,حضرية/ سكنية,Dubai Airport,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),38,,,,,,,,,,,,,,,,,
دبي,Dubai,2015,حتا,Down town,وسط المدينة ,Hatta,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),-,,,,,,,,,,,,,,,,,
دبي,Dubai,2015,ميناء جبل علي,Industrial ,صناعية  ,Jebel Ali Port,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),267,,,,,,,,,,,,,,,,,
دبي,Dubai,2015,شارع الشيخ زايد,Traffic,جانب الطريق,Shk. Zayed Road,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),239,,,,,,,,,,,,,,,,,
دبي,Dubai,2015,شارع الشيخ محمد بن زايد,Traffic,جانب الطريق,Sheikh Mohd. Bin Zayed Rd.,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),69,,,,,,,,,,,,,,,,,
الشارقة,Sharjah,2015,الحمرية,Industrial ,صناعية ,Al hummariah,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),-,,,,,,,,,,,,,,,,,
الشارقة,Sharjah,2015,كلباء,Residential, حضرية/ سكنية,Kalba,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),-,,,,,,,,,,,,,,,,,
عجمان ,Ajman,2015,مشيرف,Residential,سكنية ,Musharif,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),-,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2015,الجير,Residential,سكنية ,Al Jeer,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),139,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2015,البريرات,Residential,سكنية ,Al Burairat,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),139,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2015,القاسمية,Residential,سكنية ,AL Qasmiah,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),-,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2015,غليلة,Residential,سكنية ,Ghalilah,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),-,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,شارع حمدان,Traffic,جانب الطريق,Hamdan Street,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),165.9,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,مدرسة خديجة,Down Town,وسط المدينة ,Khadejah School,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),147.4,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,مدرسة خليفة,Urban/Residential,حضرية/ سكنية,Khalifa School,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),-,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,المقطع,Urban/Residential,حضرية/ سكنية,Al Maqta,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),118.4,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,مدينة خليفة أ,Urban/Residential, حضرية/ سكنية,Khalifa City A,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),134.9,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,مدرسة بني ياس,Urban/Residential,حضرية/ سكنية,Baniyas School,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),-,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,مصفح,Industrial,صناعية  ,Mussafah ,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),135.8,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,المفرق,Industrial,صناعية,Al Mafraq,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),163.5,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014, شارع العين,Traffic,جانب الطريق,Al Ain Street,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),128.5,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,مدرسة العين,Urban/Residential,حضرية/ سكنية,Al Ain Islamic Institute,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),122.2,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,الطوية,Urban/Residential,حضرية/ سكنية,Al Tawia,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),99.8,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,زاخر,Urban/Residential, حضرية/ سكنية,Zakher ,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),66.9,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,سويحان,Urban/Residential,حضرية/ سكنية,Sweihan,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),97.8,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,القوع,Residential,ريفية/ سكنية,Al Qua'a,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),90.8,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,طريق أبوظبي - طريف السريع,Traffic,جانب الطريق,Abu Dhabi- Tarif Road,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),88.5,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014, بدع زايد,Urban/Residential,حضرية/ سكنية,Bida Zayed ,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),67.2,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,حبشان,Residential,ريفية/ سكنية,Habshan South ,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),113.5,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,الرويس,Industrial,صناعية  ,Ruwais ,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),117.4,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,مدرسة غياثي,Down Town,وسط المدينة,Gayathi School,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),101.3,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,واحة ليوا,Remote,نائية,Liwa Oasis,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),213.9,,,,,,,,,,,,,,,,,
دبي,Dubai,2014,الكرامة,Urban/Residential, حضرية/ سكنية,Karama,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),140.0,,,,,,,,,,,,,,,,,
دبي,Dubai,2014,تلال الامارات,Urban/Residential,حضرية/ سكنية,Emirates Hills,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),128.0,,,,,,,,,,,,,,,,,
دبي,Dubai,2014,مطار دبي,Urban/Residential,حضرية/ سكنية,Dubai Airport,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),122.0,,,,,,,,,,,,,,,,,
دبي,Dubai,2014,حتا,Down town,وسط المدينة ,Hatta,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),111.0,,,,,,,,,,,,,,,,,
دبي,Dubai,2014,ميناء جبل علي,Industrial ,صناعية  ,Jebel Ali Port,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),62.0,,,,,,,,,,,,,,,,,
دبي,Dubai,2014,شارع الشيخ زايد,Traffic,جانب الطريق,Shk. Zayed Road,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),71.0,,,,,,,,,,,,,,,,,
دبي,Dubai,2014,شارع الشيخ محمد بن زايد,Traffic,جانب الطريق,Sheikh Mohd. Bin Zayed Rd.,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),32.0,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2014,الجير,Residential,سكنية ,Al Jeer,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),137.6,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2014,البريرات,Residential,سكنية ,Al Burairat,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),67.2,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2014,القاسمية,Residential,سكنية ,AL Qasmiah,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),189.7,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2013,شارع حمدان,Traffic,جانب الطريق,Hamdan Street,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),82.0,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2013,مدرسة خديجة,Down Town,وسط المدينة ,Khadejah School,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),99.0,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2013,مدرسة خليفة,Urban/Residential,حضرية/ سكنية,Khalifa School,مارس,March,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),102.0,,,,,,,,,,,,,,,,,
