Emirate_Ar,Emirate_En,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),Measurement_unit_Ar,Measurement_unit_En,اسم المحطة,Station Name,نوع موقع المحطة ,Type of Location ,Year,Value
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,قرية جبل علي ,Jebel Ali Village,سكنية,Residential,2015,-
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,تلال الإمارات,Emirates Hills,سكنية,Residential,2015,69
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مطار دبي,Dubai Airport,سكنية,Airport,2015,79
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,المشرف,Mushrif,حديقة,Park,2015,-
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,حتا,Hatta,نائية,Remote Area,2015,103
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,ميناء جبل علي,Jebel Ali Port,صناعية  ,Industrial,2015,145
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,ورسان ,Warsan,صناعية  ,Industrial,2015,-
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,شارع الشيخ زايد,Shk. Zayed Road,جانب الطريق,Traffic,2015,99
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,شارع الشيخ محمد بن زايد,Sheikh Mohd. Bin Zayed Rd.,جانب الطريق,Traffic,2015,85
الشارقة,Sharjah,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,الحمرية,Al hummariah,صناعية ,Industrial ,2015,205
الشارقة,Sharjah,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,كلباء,Kalba,سكنية ,Residential,2015,127
عجمان ,Ajman,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,الحميدية,Al hamediah ,سكنية ,Residential,2015,-
عجمان ,Ajman,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مشيرف,Musharif,سكنية ,Residential,2015,142
رأس الخيمة ,Ras Al-Khaimah ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,الجير,Al Jeer,سكنية ,Residential,2015,203
رأس الخيمة ,Ras Al-Khaimah ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,البريرات,Al Burairat,سكنية ,Residential,2015,150
رأس الخيمة ,Ras Al-Khaimah ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,القاسمية,AL Qasmiah,سكنية ,Residential,2015,135
رأس الخيمة ,Ras Al-Khaimah ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,غليلة,Ghalilah,سكنية ,Residential,2015,146
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,شارع حمدان,Hamdan Street,جانب الطريق,Traffic,2016,101
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مدرسة خديجة,Khadejah School,وسط المدينة ,Down Town,2016,117
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مدرسة خليفة,Khalifa School,حضرية/ سكنية,Urban/Residential,2016,127
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,المقطع,Al Maqta,حضرية/ سكنية,Urban/Residential,2016,136
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مدينة خليفة أ,Khalifa City A, حضرية/ سكنية,Urban/Residential,2016,156
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مدرسة بني ياس,Baniyas School,حضرية/ سكنية,Urban/Residential,2016,130
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مصفح,Mussafah ,صناعية  ,Industrial,2016,158
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,المفرق,Al Mafraq,صناعية,Industrial,2016,207
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³, شارع العين,Al Ain Street,جانب الطريق,Traffic,2016,102
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مدرسة العين,Al Ain Islamic Institute,حضرية/ سكنية,Urban/Residential,2016,112
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,الطوية,Al Tawia,حضرية/ سكنية,Urban/Residential,2016,100
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,زاخر,Zakher , حضرية/ سكنية,Urban/Residential,2016,94
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,سويحان,Sweihan,حضرية/ سكنية,Urban/Residential,2016,91
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,القوع,Al Qua'a,ريفية/ سكنية,Residential,2016,109
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,طريق أبوظبي - طريف السريع,Abu Dhabi- Tarif Road,جانب الطريق,Traffic,2016,-
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³, بدع زايد,Bida Zayed ,حضرية/ سكنية,Urban/Residential,2016,129
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,حبشان,Habshan South ,ريفية/ سكنية,Residential,2016,129
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,الرويس,Ruwais ,صناعية  ,Industrial,2016,126
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مدرسة غياثي,Gayathi School,وسط المدينة,Down Town,2016,112
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,واحة ليوا,Liwa Oasis,نائية,Remote Area,2016,113
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,ديرة ,Deira,سكنية-تجارية,Residential-Commercial,2016,198
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,الكرامة,Karama,سكنية-تجارية,Residential-Commercial,2016,-
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,حديقة زعبيل,Zabeel Park,حديقة,Park,2016,-
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,قرية جبل علي ,Jebel Ali Village,سكنية,Residential,2016,-
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,تلال الإمارات,Emirates Hills,سكنية,Residential,2016,136
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مطار دبي,Dubai Airport,سكنية,Airport,2016,-
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,المشرف,Mushrif,حديقة,Park,2016,-
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,حتا,Hatta,نائية,Remote Area,2016,-
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,ميناء جبل علي,Jebel Ali Port,صناعية  ,Industrial,2016,-
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,ورسان ,Warsan,صناعية  ,Industrial,2016,-
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,شارع الشيخ زايد,Shk. Zayed Road,جانب الطريق,Traffic,2016,56
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,شارع الشيخ محمد بن زايد,Sheikh Mohd. Bin Zayed Rd.,جانب الطريق,Traffic,2016,64
الشارقة,Sharjah,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,الحمرية,Al hummariah,صناعية ,Industrial ,2016,129
الشارقة,Sharjah,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,كلباء,Kalba,سكنية ,Residential,2016,113
عجمان ,Ajman,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,الحميدية,Al hamediah ,سكنية ,Residential,2016,-
عجمان ,Ajman,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مشيرف,Musharif,سكنية ,Residential,2016,145
رأس الخيمة ,Ras Al-Khaimah ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,الجير,Al Jeer,سكنية ,Residential,2016,139
رأس الخيمة ,Ras Al-Khaimah ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,البريرات,Al Burairat,سكنية ,Residential,2016,126
رأس الخيمة ,Ras Al-Khaimah ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,القاسمية,AL Qasmiah,سكنية ,Residential,2016,124
رأس الخيمة ,Ras Al-Khaimah ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,غليلة,Ghalilah,سكنية ,Residential,2016,123
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب,µg/Nm3,ديرة ,Deira,سكنية ,Residential,2006,204
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/Nm3,الصفا,Al Safa,سكنية ,Residential,2006,150
الفجيرة,Fujairah,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/m3,سكمكم,Sakamkam,عمرانية / سكنية,Urban/Residential,2006,129
الفجيرة,Fujairah,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/m3,المطار,Airport,صناعية,Industrial,2006,137
الفجيرة,Fujairah,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/m3,الميناء,Seaport,صناعية,Industrial,2006,149
الفجيرة,Fujairah,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/m3,مرباح,Murbah,عمرانية / سكنية,Urban/Residential,2006,104
الفجيرة,Fujairah,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/m3,دبا,Diba,عمرانية / سكنية,Urban/Residential,2006,120
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/Nm3,شارع حمدان,Hamdan Street,جانب الطريق, Road Side,2007,131
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/Nm3,مدرسة خديجة ,Khadiejah   School,وسط المدينة,City Centre,2007,121
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/Nm3,مدرسة خليفة,Khalifah School,حضرية / سكنية,Urban/Residential,2007,113
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/Nm3,بني ياس,Bani Yas,حضرية / سكنية,Urban/Residential,2007,132
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/Nm3,مصفح,Mussafah,صناعية,Industrial,2007,214
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/Nm3,مدرسة العين ,Al - Ain School,حضرية / سكنية,Urban/Residential,2007,97
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/Nm3,شارع العين,Al - Ain Street,جانب الطريق, Road Side,2007,138
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/Nm3,بدع زايد,Bida Zayed,حضرية / سكنية,Urban/Residential,2007,65
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/Nm3, مدرسة غياثي,Gayathi School,وسط المدينة,City Centre,2007,144
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/Nm3, واحة ليوا,Liwa Oasis,نائية,Remote Area,2007,150
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/Nm3,ديرة ,Deira,سكنية ,Residential,2007,231
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/Nm3,الصفا,Al Safa,سكنية ,Residential,2007,235
الفجيرة,Fujairah,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/m3,سكمكم,Sakamkam,عمرانية / سكنية,Urban/Residential,2007,137
الفجيرة,Fujairah,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/m3,المطار,Airport,صناعية,Industrial,2007,181
الفجيرة,Fujairah,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/m3,الميناء,Seaport,صناعية,Industrial,2007,180
الفجيرة,Fujairah,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/m3,مرباح,Murbah,عمرانية / سكنية,Urban/Residential,2007,111
الفجيرة,Fujairah,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/m3,دبا,Diba,عمرانية / سكنية,Urban/Residential,2007,142
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/Nm3,شارع حمدان,Hamdan Street,جانب الطريق, Road Side,2008,124
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/Nm3,مدرسة خديجة ,Khadiejah   School,وسط المدينة,City Centre,2008,133
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/Nm3,مدرسة خليفة,Khalifah School,حضرية / سكنية,Urban/Residential,2008,90
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/Nm3,بني ياس,Bani Yas,حضرية / سكنية,Urban/Residential,2008,72
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/Nm3,مصفح,Mussafah,صناعية,Industrial,2008,195
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/Nm3,مدرسة العين ,Al - Ain School,حضرية / سكنية,Urban/Residential,2008,92
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/Nm3,شارع العين,Al - Ain Street,جانب الطريق, Road Side,2008,132
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/Nm3,بدع زايد,Bida Zayed,حضرية / سكنية,Urban/Residential,2008,118
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/Nm3, مدرسة غياثي,Gayathi School,وسط المدينة,City Centre,2008,170
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/Nm3, واحة ليوا,Liwa Oasis,نائية,Remote Area,2008,159
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/Nm3,ديرة ,Deira,سكنية ,Residential,2008,398
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/Nm3,الصفا,Al Safa,سكنية ,Residential,2008,306
رأس الخيمة ,Ras Al-Khaimah ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/m3,القاسمية,Al Qasimiah,عمرانية / سكنية,Urban/Residential,2008,279
رأس الخيمة ,Ras Al-Khaimah ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/m3,الجير,Al  Jeer,عمرانية / سكنية,Urban/Residential,2008,182
رأس الخيمة ,Ras Al-Khaimah ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/m3,البريرات,Burairat,عمرانية / سكنية,Urban/Residential,2008,…
الفجيرة,Fujairah,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/m3,سكمكم,Sakamkam,عمرانية / سكنية,Urban/Residential,2008,128
الفجيرة,Fujairah,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/m3,المطار,Airport,صناعية,Industrial,2008,135
الفجيرة,Fujairah,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/m3,الميناء,Seaport,صناعية,Industrial,2008,189
الفجيرة,Fujairah,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/m3,مرباح,Murbah,عمرانية / سكنية,Urban/Residential,2008,136
الفجيرة,Fujairah,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/m3,دبا,Diba,عمرانية / سكنية,Urban/Residential,2008,153
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/Nm3,شارع حمدان,Hamdan Street,جانب الطريق, Road Side,2009,148
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/Nm3,مدرسة خديجة ,Khadiejah   School,وسط المدينة,City Centre,2009,152
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/Nm3,مدرسة خليفة,Khalifah School,حضرية / سكنية,Urban/Residential,2009,98
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/ متر مكعب,µg/Nm3,بني ياس,Bani Yas,حضرية / سكنية,Urban/Residential,2009,71
